Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Tommy Pham","2 Tms",1297,0.108712413,0.225134926,0.482876712,0.27425044,0.361389961,0.469135802,0.830525763,0.194885362,0.328732747,198.59240045442476,40.805101722918906,0.356112013045566,125.06320791743062,2967
"Total","Michael Morse","SFG",28,0.071428571,0.285714285,0.25,0.2,0.25,0.32,0.57,0.12,0.235294117,1.6303700132241103,-1.7828299777636674,0.24544817634991237,49.446266118598324,3035
"Total","Mike Napoli","TEX",365,0.098630136,0.326027397,0.302521008,0.191823899,0.285714285,0.415094339,0.700808624,0.22327044,0.220994475,38.30511755897051,-6.188382323548738,0.30080896894355397,76.00309613532242,3057
"Total","Max Scherzer","WSN",167,0.023952095,0.233532934,0.102564102,0.202702702,0.233766233,0.216216216,0.449982449,0.013513514,0.275229357,3.8718223404276255,-16.382477479041828,0.20278320567948477,17.007731808673974,3137
"Total","Robinson Chirinos","2 Tms",855,0.088888888,0.301754385,0.294573643,0.221311475,0.326291079,0.431693989,0.757985068,0.210382514,0.281818181,110.63072357411124,6.639224455604325,0.327768871831782,100.38175716744223,3142
"Total","Ervin Santana","MIN",6,0,0.5,0,0.166666666,0.166666666,0.166666666,0.333333332,0,0.333333333,-0.15360630142071263,-0.8850062994895221,0.14611146847407022,-21.668363671595376,3200
"Total","Jean Machi","SEA",1,0,1,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,3220
"Total","Jeff Samardzija","SFG",95,0,0.463157894,0,0.113636363,0.113636363,0.170454545,0.284090908,0.056818182,0.209302325,-4.4474603871578635,-16.159960363316006,0.11977304450490257,-32.01806964647391,3254
"Total","Franklin Gutierrez","LAD",16,0.0625,0.1875,0.333333333,0.333333333,0.375,0.333333333,0.708333333,0,0.416666666,1.901402651862571,-0.04899734298758773,0.3172711320221424,96.70903756213796,3255
"Total","Welington Castillo","2 Tms",556,0.059352517,0.273381294,0.217105263,0.239382239,0.287769784,0.438223938,0.725993722,0.198841699,0.282352941,62.36035329794463,-5.420046285335459,0.30777160040766216,90.96786945399279,3256
"Total","Anibal Sanchez","3 Tms",76,0.013157894,0.421052631,0.03125,0.085714285,0.098591549,0.085714285,0.184305834,0,0.157894736,-5.7152132020307524,-15.005613125951385,0.08333958706385652,-60.451360593693366,3284
"Total","Hector Noesi","MIA",5,0,0.6,0,0.25,0.25,0.25,0.5,0,1,0.1864979057059773,-0.44300209596295276,0.21740251779556274,32.73016286709879,3292
"Total","Charlie Culberson","2 Tms",305,0.068852459,0.308196721,0.223404255,0.256317689,0.319078947,0.444043321,0.763122268,0.187725632,0.343023255,37.97251111668496,1.4680117110624757,0.3229968806107839,99.4179184834516,3298
"Total","Martin Prado","MIA",435,0.039080459,0.188505747,0.207317073,0.233173076,0.264367816,0.314903846,0.579271662,0.08173077,0.278787878,28.499110839417746,-24.308388673612306,0.2522117783283365,56.401563244353795,3312
"Total","Matt Garza","MIL",30,0,0.3,0,0.071428571,0.103448275,0.071428571,0.174876846,0,0.105263157,-2.3055942990669576,-5.962594289411005,0.08537781444089167,-60.70404457732226,3340
"Total","Ubaldo Jimenez","BAL",2,0,0.5,0,0,0,0,0,0,0,-0.2978040446303031,-0.5416040439865729,0,-100,3374
"Total","Nick Hundley","2 Tms",436,0.052752293,0.282110091,0.186991869,0.215158924,0.257471264,0.347188264,0.604659528,0.13202934,0.283154121,30.70562449956358,-21.76277491336643,0.25866992313922416,60.27068819513339,3376
"Total","Ryan Braun","MIL",946,0.061310782,0.216701902,0.282926829,0.271362586,0.321997874,0.464203233,0.786201107,0.192840647,0.313787638,126.45435191806303,11.2889527988051,0.3326557083759572,103.5365735014583,3410
"Total","Drew Butera","2 Tms",261,0.053639846,0.218390804,0.245614035,0.210743801,0.258687258,0.293388429,0.552075687,0.082644628,0.262295081,15.139066984649471,-16.16283262730045,0.24388877420351773,44.6760846263669,3411
"Total","Jeff Mathis","2 Tms",460,0.056521739,0.328260869,0.17218543,0.189252336,0.237991266,0.261682242,0.499673508,0.072429906,0.282608695,17.81717337880485,-38.249826213082144,0.22040444716843788,25.62778513533494,3448
"Total","Troy Tulowitzki","2 Tms",199,0.075376884,0.155778894,0.483870967,0.269230769,0.326633165,0.406593406,0.733226571,0.137362637,0.294520547,23.383375471102433,-0.9067244700916259,0.3155743079354065,95.4883221790403,3531
"Total","Rene Rivera","4 Tms",247,0.052631578,0.303643724,0.173333333,0.263157894,0.31300813,0.442982456,0.755990586,0.179824562,0.347222222,30.17608582014961,0.2857860379926629,0.32057113725630965,100.9331064730806,3648
"Total","Geovany Soto","CHW",32,0.09375,0.25,0.375,0.137931034,0.21875,0.344827586,0.563577586,0.206896552,0.105263157,1.8107477206366656,-2.090052269063652,0.24350284226238728,47.95878825669675,3707
"Total","Rajai Davis","4 Tms",361,0.060941828,0.238227146,0.255813953,0.225609756,0.283707865,0.326219512,0.609927377,0.100609756,0.292887029,28.347418812526627,-15.132480772720413,0.26886892854497674,64.88387956998052,3708
"Total","David Wright","NYM",3,0.333333333,0,1,0,0.333333333,0,0.333333333,0,0,0.14302535420589063,-0.20767463678188708,0.22984319925308228,44.6081590442746,3787
"Total","J.J. Hardy","BAL",181,0.038674033,0.171270718,0.225806451,0.226744186,0.261111111,0.343023255,0.604134366,0.116279069,0.260869565,12.917836368762458,-9.146063572979964,0.26102114386028713,56.08518282069224,3797
"Total","Gregorio Petit","MIN",55,0.09090909,0.2,0.454545454,0.26,0.327272727,0.26,0.587272727,0,0.333333333,4.449628940742536,-1.9798708940333887,0.2705735900185325,66.72887143134376,3812
"Total","Mat Latos","TOR",3,0,0,0,0,0,0,0,0,0,-0.4467060669454546,-0.8124060659798593,0,-100,3815
"Total","Ricky Nolasco","LAA",4,0.25,0.5,0.5,0,0.25,0,0.25,0,0,-0.010802242706593856,-0.49840224141913353,0.1732485145330429,0.17963565102061912,3830
"Total","Chris Stewart","2 Tms",123,0.06504065,0.154471544,0.421052631,0.214285714,0.270491803,0.241071428,0.511563231,0.026785714,0.255319148,5.4480199626100365,-9.470679957567423,0.2285099073875049,36.07736718419716,3878
"Total","Chris Young","2 Tms",237,0.097046413,0.274261603,0.353846153,0.224880382,0.305084745,0.416267942,0.721352687,0.19138756,0.277372262,26.875790897474694,-1.629508819713188,0.3103086746345132,90.17896137618132,3882
"Total","Chris Heisey","WSN",58,0.086206896,0.293103448,0.294117647,0.132075471,0.206896551,0.207547169,0.41444372,0.075471698,0.171428571,0.697338508132521,-6.372861473199304,0.1906960041358553,7.355970608740805,3978
"Total","Edinson Volquez","MIA",23,0.04347826,0.217391304,0.2,0.263157894,0.285714285,0.263157894,0.548872179,0,0.333333333,1.2670727822188907,-1.5366272103782124,0.2417303863025847,47.31806065765684,3990
"Total","Enny Romero","WSN",1,0,1,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,4001
"Total","Melky Cabrera","CLE",1,0,0,0,1,1,2,3,1,1,0.877680230454072,0.760780233458146,1.2472748756408691,729.7219490703374,4022
"Total","Hector Santiago","CHW",4,0,0.5,0,0,0,0,0,0,0,-0.5593097145692119,-1.0269097025529155,0,-100,4026
"Total","Dexter Fowler","STL",1,0,0,0,0,0,0,0,0,0,-0.15062652843624236,-0.27652652877002837,0,-100,4062
"Total","Anthony Recker","ATL",6,0,0,0,0.166666666,0.166666666,0.166666666,0.333333332,0,0.166666666,-0.15360630142071263,-0.8850062994895221,0.14611146847407022,-20.904296016737952,4063
"Total","Pedro Strop","CHC",3,0,0,0,0,0,0,0,0,0,-0.42855687959975747,-0.7842568732697441,0,-100,4070
