Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Manny Pina","MIL",261,0.065134099,0.245210727,0.265625,0.276595744,0.334615384,0.412765957,0.747381341,0.136170213,0.355029585,32.38989285576656,0.6399930958779072,0.32039321435464396,95.19485431266133,2829
"Total","Chris Marrero","SFG",20,0.05,0.3,0.166666666,0.166666666,0.2,0.333333333,0.533333333,0.166666667,0.166666666,0.7571686802509172,-1.6808313133117811,0.2213108628988266,33.60062957820177,2852
"Total","Roberto Perez","CLE",274,0.131386861,0.288321167,0.455696202,0.251082251,0.349442379,0.467532467,0.816974846,0.216450216,0.314285714,40.1149794466569,6.297379539139476,0.34606578078732564,112.34676541437892,2900
"Total","Tommy Pham","2 Tms",457,0.170678336,0.192560175,0.886363636,0.312668463,0.435448577,0.493261455,0.928710032,0.180592992,0.37037037,86.56757569599463,30.776276092115186,0.39804622003462464,153.71554055245755,2967
"Total","Michael Morse","SFG",12,0.083333333,0.5,0.166666666,0.181818181,0.25,0.272727272,0.522727272,0.090909091,0.4,0.5775932034731139,-0.8852067926645051,0.23348593215147653,41.5933054251888,3035
"Total","Mike Napoli","TEX",120,0.108333333,0.366666666,0.295454545,0.196261682,0.283333333,0.467289719,0.750623052,0.271028037,0.236363636,13.210595344043162,-1.4174046173330286,0.3069031401577159,80.17068456541968,3057
"Total","Kenley Jansen","LAD",1,0,1,0,0,0,0,0,0,0,-0.15062652843624236,-0.27652652877002837,0,-100,3096
"Total","Max Scherzer","WSN",44,0.022727272,0.409090909,0.055555555,0.179487179,0.2,0.256410256,0.456410256,0.076923077,0.3,0.820982190636704,-4.499617752762726,0.19816895574331284,13.48967855044336,3137
"Total","Robinson Chirinos","2 Tms",317,0.170347003,0.271293375,0.627906976,0.280155642,0.403785488,0.505836575,0.909622063,0.225680933,0.360248447,57.041273685097245,18.547974036931542,0.38713405403909806,140.63774371591168,3142
"Total","Ervin Santana","MIN",4,0,0,0,0.25,0.25,0.5,0.75,0.25,0.25,0.44419770297011735,-0.043402295742422305,0.30804207921028137,89.07026116627304,3200
"Total","Jeff Samardzija","SFG",39,0,0.435897435,0,0.083333333,0.083333333,0.138888888,0.222222221,0.055555555,0.157894736,-2.8025241318236547,-7.593624119747754,0.09237506985664368,-50.9541869493428,3254
"Total","Franklin Gutierrez","LAD",47,0.127659574,0.276595744,0.461538461,0.195121951,0.29787234,0.341463414,0.639335754,0.146341463,0.259259259,4.25987235214445,-1.4694276327278908,0.28385170469892784,74.76988928762131,3255
"Total","Welington Castillo","2 Tms",241,0.058091286,0.269709543,0.215384615,0.286995515,0.331950207,0.470852017,0.802802224,0.183856502,0.36,33.716877669238585,4.2439778299565445,0.34039344728240334,113.5480944354395,3256
"Total","Robinson Cano","NYM",1,0,1,0,0,0,0,0,0,0,-0.15062652843624236,-0.27652652877002837,0,-100,3269
"Total","Anibal Sanchez","2 Tms",26,0,0.692307692,0,0.04,0.04,0.04,0.08,0,0.142857142,-2.9450611367983304,-6.092461098746725,0.034784402847290036,-83.53231699569105,3284
"Total","Charlie Culberson","2 Tms",176,0.045454545,0.221590909,0.205128205,0.275449101,0.306818181,0.461077844,0.767896025,0.185628743,0.330645161,21.98839935496887,0.8929996846660025,0.3223134544917515,98.51326406893746,3298
"Total","Martin Prado","MIA",181,0.066298342,0.08839779,0.75,0.259036144,0.303867403,0.307228915,0.611096318,0.048192771,0.281045751,14.601465918527243,-7.676433980061414,0.2686925224177745,66.72927870968157,3312
"Total","Matt Garza","MIL",7,0,0.571428571,0,0.142857142,0.142857142,0.142857142,0.285714284,0,0.333333333,-0.3025083237358641,-1.1558083214828085,0.12523840154920304,-34.536410930558354,3340
"Total","Ubaldo Jimenez","BAL",3,0,0.666666666,0,0.333333333,0.333333333,0.333333333,0.666666666,0,1,0.293099765524742,-0.07260023350966274,0.29222293694814044,77.42298697838334,3374
"Total","Nick Hundley","2 Tms",245,0.053061224,0.248979591,0.213114754,0.278260869,0.319672131,0.513043478,0.832715609,0.234782609,0.331210191,35.721626356370464,6.409126758701817,0.3492678967881794,120.58429039418328,3376
"Total","Cliff Pennington","2 Tms",68,0.029411764,0.25,0.117647058,0.25,0.264705882,0.265625,0.530330882,0.015625,0.326530612,3.172869430407932,-5.0963305369764065,0.23187626547673168,40.00055261562811,3395
"Total","Ryan Braun","MIL",434,0.110599078,0.140552995,0.786885245,0.267195767,0.351851851,0.542328042,0.894179893,0.275132275,0.265100671,71.46819169932309,18.614592128631493,0.3691237791323326,127.84402352408024,3410
"Total","Drew Butera","2 Tms",147,0.115646258,0.25170068,0.459459459,0.188976377,0.285714285,0.314960629,0.600674914,0.125984252,0.235955056,11.528217620039538,-6.191082180654451,0.2681439782486481,58.39440629506131,3411
"Total","Jeff Mathis","2 Tms",205,0.112195121,0.307317073,0.365079365,0.187845303,0.27804878,0.287292817,0.565341597,0.099447514,0.273504273,13.010325640916044,-11.872174128413983,0.24977517274800193,46.10538279788653,3448
"Total","Troy Tulowitzki","2 Tms",74,0.054054054,0.175675675,0.307692307,0.185714285,0.229729729,0.328571428,0.558301157,0.142857143,0.2,4.008968597631473,-5.031631381828767,0.23974658991839434,43.40141785955629,3531
"Total","Rene Rivera","4 Tms",101,0.07920792,0.336633663,0.235294117,0.204301075,0.267326732,0.387096774,0.654423506,0.182795699,0.259259259,8.799003383837487,-3.3568964910285213,0.27784216046333315,72.42275342447843,3648
"Total","Geovany Soto","CHW",16,0.0625,0.125,0.5,0.307692307,0.375,0.538461538,0.913461538,0.230769231,0.272727272,2.7023884284159956,0.751988433565837,0.37659406661987305,138.97517543839706,3707
"Total","Rajai Davis","4 Tms",247,0.06882591,0.202429149,0.34,0.23580786,0.287449392,0.327510917,0.614960309,0.091703057,0.288135593,19.458592455921874,-10.200707200826898,0.26798850152550674,63.90676562100662,3708
"Total","J.J. Hardy","BAL",87,0.057471264,0.195402298,0.294117647,0.195121951,0.24137931,0.280487804,0.521867114,0.085365853,0.234375,3.9074322968896356,-6.697867675108102,0.2296705307631657,34.645605915404005,3797
"Total","Gregorio Petit","MIN",12,0.083333333,0.25,0.333333333,0.181818181,0.25,0.363636363,0.613636363,0.181818182,0.25,0.9195938146179138,-0.48320614933319717,0.2653399457534154,63.1592010608426,3812
"Total","Ricky Nolasco","LAA",3,0.333333333,0,1,0,0.333333333,0,0.333333333,0,0,0.13809977960855763,-0.22760021942584713,0.23099801937739053,39.672482139129336,3830
"Total","Chris Stewart","3 Tms",38,0.052631578,0.105263157,0.5,0.088235294,0.138888888,0.147058823,0.285947711,0.058823529,0.1,-1.4482144171235398,-6.070414399528249,0.13031788004769218,-27.52695987717733,3878
"Total","Chris Young","2 Tms",167,0.107784431,0.161676646,0.666666666,0.197278911,0.293413173,0.326530612,0.619943785,0.129251701,0.215517241,14.325394684132611,-5.7769051253232595,0.27778438501015396,67.88422453821273,3882
"Total","Matt Magill","MIN",1,0,1,0,0,0,0,0,0,0,-0.13982742864230296,-0.25672742563822887,0,-100,3950
"Total","Chris Heisey","WSN",21,0,0.238095238,0,0.238095238,0.238095238,0.428571428,0.666666666,0.19047619,0.3125,1.7420865971580657,-0.8178133960827676,0.2747520094826108,62.536962994718365,3978
"Total","Edinson Volquez","MIA",7,0,0.857142857,0,0,0,0,0,0,0,-1.0423141562060607,-1.8956141539530051,0,-100,3990
"Total","Enny Romero","PIT",1,0,0,0,1,1,2,3,1,1,0.877680230454072,0.760780233458146,1.2472748756408691,720.401845521091,4001
"Total","Yusmeiro Petit","OAK",1,0,0,0,0,0,0,0,0,0,-0.15062652843624236,-0.27652652877002837,0,-100,4020
"Total","Melky Cabrera","4 Tms",363,0.035812672,0.137741046,0.26,0.284057971,0.312154696,0.44057971,0.752734406,0.156521739,0.301754385,44.41708601051178,0.024386239882370653,0.3199627289126591,98.46394518055034,4022
"Total","Emilio Bonifacio","ATL",8,0,0.25,0,0,0,0,0,0,0,-1.1912161785212123,-2.1664161759462917,0,-100,4054
"Total","Dexter Fowler","STL",319,0.122257053,0.200626959,0.609375,0.216606498,0.31661442,0.364620938,0.681235358,0.14801444,0.252427184,33.905907059888335,-5.128192727585343,0.2997385295207224,85.74430569257903,4062
"Total","Anthony Recker","ATL",1,0,1,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,4063
"Total","Junichi Tazawa","MIA",1,0,0,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,4079
"Total","Erick Aybar","SDP",103,0.08737864,0.116504854,0.75,0.244444444,0.306930693,0.366666666,0.673597359,0.122222222,0.256410256,9.677822612134527,-2.8778773547133705,0.2877904748916626,75.93722801021188,4082
