Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Total,Jason Heyward,CHC,342,0.055555555,0.204678362,0.271428571,0.252336448,0.294117647,0.345794392,0.639912039,0.093457944,0.31174089,29.98918041,-11.67561929,0.278811363,69.58693112,4940
Total,Travis Shaw,MIL,339,0.079646017,0.244837758,0.325301204,0.210526315,0.281899109,0.345394736,0.627293845,0.134868421,0.263888888,28.09974823,-12.76335134,0.273571254,65.02237342,11982
Total,Jon Jay,4 Tms,337,0.094955489,0.172106824,0.551724137,0.268292682,0.364457831,0.285714285,0.650172116,0.017421603,0.334782608,35.87872233,-4.615577148,0.301232602,85.23281841,5227
Total,Odubel Herrera,PHI,326,0.030674846,0.22392638,0.136986301,0.287096774,0.319018404,0.43548387,0.754502274,0.148387096,0.352173913,40.45493695,1.30653741,0.32316593,98.32634699,11476
Total,Carlos Gonzalez,3 Tms,323,0.049535603,0.269349845,0.183908045,0.219672131,0.263157894,0.344262295,0.607420189,0.124590164,0.287735849,24.01113369,-14.79256584,0.264058186,47.37550679,7287
Total,Mallex Smith,2 Tms,323,0.068111455,0.241486068,0.282051282,0.290102389,0.347962382,0.372013651,0.719976033,0.081911262,0.392523364,38.75916601,-0.699533685,0.316124016,100.6627662,13608
Total,Kyle Schwarber,CHC,313,0.130990415,0.313099041,0.418367346,0.209737827,0.319488817,0.374531835,0.694020652,0.164794008,0.285714285,34.08236169,-4.113338049,0.303021212,85.31300659,16478
Total,Kolten Wong,STL,304,0.075657894,0.151315789,0.5,0.269662921,0.331103678,0.359550561,0.690654239,0.08988764,0.30316742,32.28361271,-4.781987014,0.299709339,85.98726644,12532
Total,Max Muncy,LAD,300,0.113333333,0.293333333,0.386363636,0.262548262,0.363333333,0.528957528,0.892290861,0.266409266,0.322368421,51.12750655,14.42850685,0.374831129,137.4115479,13301
Total,Yonder Alonso,5 Tms,289,0.072664359,0.24567474,0.295774647,0.220532319,0.287197231,0.406844106,0.694041337,0.186311787,0.25,30.27549682,-4.547602759,0.298125417,83.14434885,2530
Total,Adam Frazier,PIT,289,0.051903114,0.169550173,0.306122448,0.259398496,0.305263157,0.345864661,0.651127818,0.086466165,0.310185185,26.6939128,-8.809187026,0.282567844,73.20685288,15223
Total,Joe Mauer,MIN,288,0.076388888,0.170138888,0.448979591,0.303846153,0.368055555,0.38076923,0.748824785,0.076923077,0.366666666,37.70544211,3.308242584,0.331696854,106.8128206,1857
Total,Scott Schebler,CIN,283,0.021201413,0.197879858,0.107142857,0.279411764,0.303886925,0.470588235,0.77447516,0.191176471,0.312195121,36.25896176,2.3692622,0.328409051,100.0831735,12225
Total,Gregory Polanco,PIT,279,0.075268817,0.236559139,0.318181818,0.239043824,0.306859205,0.386454183,0.693313388,0.147410359,0.3,29.68133991,-3.769759647,0.301888945,86.98647462,12907
Total,Gerardo Parra,3 Tms,278,0.046762589,0.190647482,0.245283018,0.263779527,0.307971014,0.3503937,0.658364714,0.086614173,0.316831683,26.33723136,-7.311968319,0.286816359,63.49782991,8553
Total,Justin Bour,3 Tms,274,0.124087591,0.281021897,0.441558441,0.211864406,0.313868613,0.33898305,0.652851663,0.127118644,0.274509803,26.94610779,-5.835491749,0.291526256,82.33656254,9744
Total,Ben Gamel,2 Tms,258,0.081395348,0.282945736,0.287671232,0.286956521,0.348837209,0.404347826,0.753185035,0.117391305,0.402515723,32.99386945,1.487669625,0.32546712,103.4260429,12160
Total,Brandon Nimmo,NYM,251,0.115537848,0.326693227,0.353658536,0.252380952,0.368,0.419047619,0.787047619,0.166666667,0.382113821,36.13181478,6.085915229,0.345597412,119.6069478,12927
Total,Mitch Moreland,BOS,250,0.096,0.268,0.358208955,0.234234234,0.312,0.351351351,0.663351351,0.117117117,0.31372549,24.74171219,-5.448287487,0.292321308,76.31385053,3086
Total,Austin Meadows,2 Tms,248,0.056451612,0.278225806,0.20289855,0.280172413,0.326612903,0.534482758,0.861095661,0.254310345,0.346666666,38.97506925,8.390869404,0.358756961,127.9504065,15672
Total,Logan Morrison,3 Tms,243,0.111111111,0.255144032,0.43548387,0.221698113,0.316872427,0.37735849,0.694230917,0.155660377,0.277777777,26.54632119,-2.6653785,0.305408017,91.63514572,9205
Total,Jake Lamb,ARI,238,0.1302521,0.331932773,0.392405063,0.168316831,0.285714285,0.326732673,0.612446958,0.158415842,0.222222222,19.40211344,-9.452086357,0.271315516,59.88785489,13329
Total,Lucas Duda,3 Tms,236,0.059322033,0.322033898,0.184210526,0.17535545,0.245762711,0.317535545,0.563298256,0.142180095,0.227272727,14.274998,-14.07540166,0.24668106,49.80706754,2502
Total,Jake Bauers,2 Tms,234,0.089743589,0.277777777,0.323076923,0.206730769,0.283261802,0.360576923,0.643838725,0.153846154,0.260869565,20.993419,-7.513180725,0.279211446,71.34290072,15194
Total,Shohei Ohtani,LAA,226,0.088495575,0.31858407,0.277777777,0.252475247,0.324444444,0.400990099,0.725434543,0.148514852,0.365079365,26.88656204,-0.576837668,0.31361277,97.89085899,19755
Total,Tony Wolters,COL,225,0.093333333,0.2,0.466666666,0.242268041,0.337837837,0.314432989,0.652270826,0.072164948,0.315436241,22.48969367,-5.218806228,0.291238914,62.82124807,11470
Total,Adam Eaton,WSN,221,0.07239819,0.194570135,0.372093023,0.268041237,0.33488372,0.386597938,0.721481658,0.118556701,0.333333333,26.30292994,-1.009969951,0.312625255,89.10757746,11205
Total,Denard Span,3 Tms,220,0.095454545,0.159090909,0.6,0.260416666,0.337899543,0.354166666,0.692066209,0.09375,0.303797468,24.0223158,-2.280683848,0.30662947,93.06015267,8347
Total,Derek Dietrich,2 Tms,220,0.031818181,0.277272727,0.114754098,0.248730964,0.322727272,0.390862944,0.713590216,0.14213198,0.333333333,25.58661495,-0.809384709,0.31363892,96.23170822,10542
Total,Jeff McNeil,NYM,218,0.059633027,0.119266055,0.5,0.303030303,0.366972477,0.454545454,0.821517931,0.151515151,0.333333333,33.37997081,6.491770949,0.353402087,124.0237708,15362
Total,Cory Spangenberg,2 Tms,215,0.032558139,0.404651162,0.08045977,0.177339901,0.207547169,0.27093596,0.478483129,0.093596059,0.28318584,5.948378343,-19.99212142,0.207411764,24.02316165,12294
Total,Brian McCann,2 Tms,206,0.106796116,0.165048543,0.647058823,0.209039548,0.31553398,0.33898305,0.65451703,0.129943502,0.224637681,20.46654304,-4.538856773,0.293146245,83.09314665,4810
Total,Omar Narvaez,2 Tms,206,0.17961165,0.17961165,1,0.209876543,0.364532019,0.290123456,0.654655475,0.080246913,0.258064516,22.97339932,-2.233000526,0.305629521,92.21433901,13338
Total,Ryan McMahon,COL,206,0.077669902,0.325242718,0.23880597,0.260638297,0.321951219,0.484042553,0.805993772,0.223404256,0.345454545,28.94997709,3.385577159,0.338990949,94.61375304,15112
Total,Curtis Granderson,5 Tms,205,0.107317073,0.268292682,0.4,0.210227272,0.299019607,0.397727272,0.696746879,0.1875,0.260504201,21.37623473,-3.713265165,0.298146925,85.1646446,4747
Total,Eric Thames,MIL,202,0.0990099,0.346534653,0.285714285,0.1875,0.287128712,0.375,0.662128712,0.1875,0.244897959,19.50540044,-5.221399454,0.288951814,73.93012195,3711
Total,Nick Williams,PHI,201,0.049751243,0.328358208,0.151515151,0.240437158,0.303482587,0.344262295,0.647744882,0.103825137,0.350877192,18.71516198,-5.399737723,0.286094964,73.94567762,14330
Total,David Dahl,COL,192,0.046875,0.3125,0.15,0.288888888,0.322916666,0.505555555,0.828472221,0.216666667,0.391304347,28.1631971,4.584397256,0.345375705,99.10010313,13744
Total,Daniel Descalso,2 Tms,186,0.118279569,0.26344086,0.448979591,0.215189873,0.313513513,0.379746835,0.693260348,0.164556962,0.264150943,19.80130143,-2.590098325,0.303458213,82.97019179,8392
Total,Ronald Guzman,TEX,186,0.080645161,0.29032258,0.277777777,0.178571428,0.241935483,0.31547619,0.557411673,0.136904762,0.223214285,10.80810405,-11.65529566,0.242362988,38.43103936,14388
Total,Eric Sogard,3 Tms,182,0.098901098,0.203296703,0.486486486,0.265822784,0.342541436,0.455696202,0.798237638,0.189873418,0.299145299,25.51515154,2.924351565,0.337946872,109.8541255,7927
Total,Leonys Martin,4 Tms,182,0.06043956,0.258241758,0.234042553,0.174698795,0.243093922,0.319277108,0.56237103,0.144578313,0.217391304,11.04852882,-11.04927096,0.246288846,47.7556864,11846
Total,Brian Goodwin,3 Tms,182,0.071428571,0.318681318,0.224137931,0.26875,0.344444444,0.5,0.844444444,0.23125,0.375,28.01673498,5.559935045,0.355552033,121.5118022,12858
Total,J.P. Crawford,2 Tms,174,0.14367816,0.247126436,0.581395348,0.143835616,0.2716763,0.171232876,0.442909176,0.02739726,0.201923076,6.49793423,-15.08966573,0.217925777,32.15039536,15491
Total,Daniel Vogelbach,SEA,173,0.12716763,0.294797687,0.431372549,0.148648648,0.2716763,0.283783783,0.555460083,0.135135135,0.184782608,11.70260492,-9.855095054,0.252009377,56.57638059,14130
Total,Brock Holt,BOS,170,0.117647058,0.229411764,0.512820512,0.263513513,0.352941176,0.297297297,0.650238473,0.033783784,0.354545454,17.46953628,-3.129463506,0.296825073,79.61730289,9345
Total,Jarrod Dyson,2 Tms,169,0.094674556,0.171597633,0.551724137,0.234482758,0.321212121,0.262068965,0.583281086,0.027586207,0.29059829,13.39325537,-7.136844465,0.268972151,63.63826973,4866
Total,Matt Adams,3 Tms,169,0.023668639,0.260355029,0.09090909,0.201219512,0.224852071,0.402439024,0.627291095,0.201219512,0.223214285,12.53264697,-8.105452897,0.262139617,56.64544182,9393
Total,Joc Pederson,LAD,162,0.061728395,0.222222222,0.277777777,0.198675496,0.24691358,0.291390728,0.538304308,0.092715232,0.245614035,8.49653407,-11.16626576,0.236392763,45.42021345,11899
Total,JT Riddle,MIA,162,0.018518518,0.216049382,0.085714285,0.217948717,0.229813664,0.365384615,0.595198279,0.147435898,0.245762711,10.41152789,-9.075271878,0.249857587,54.26432944,17642
Total,Joey Wendle,TBR,161,0.099378881,0.217391304,0.457142857,0.234042553,0.310559006,0.326241134,0.63680014,0.092198581,0.302752293,14.084891,-5.267008713,0.279417146,76.72045864,13853
Total,Brad Miller,4 Tms,160,0.08125,0.2875,0.282608695,0.220689655,0.2875,0.372413793,0.659913793,0.151724138,0.284210526,14.94122795,-4.425771889,0.286125288,78.29080849,12775
Total,Raimel Tapia,COL,159,0.037735849,0.3081761,0.122448979,0.256578947,0.289308176,0.375,0.664308176,0.118421053,0.353535353,14.98871715,-4.769382846,0.28459295,57.88007676,14350
Total,Jason Castro,MIN,157,0.089171974,0.267515923,0.333333333,0.214285714,0.299363057,0.314285714,0.613648771,0.1,0.284210526,13.17329946,-6.105000493,0.275151847,67.17941474,8722
Total,Willie Calhoun,TEX,156,0.051282051,0.185897435,0.275862068,0.216783216,0.269230769,0.426573426,0.695804195,0.20979021,0.220183486,15.67795149,-3.617448445,0.290589477,70.00693082,17838
Total,Colin Moran,2 Tms,152,0.052631578,0.236842105,0.222222222,0.236111111,0.276315789,0.354166666,0.630482455,0.118055555,0.295238095,12.70147817,-5.794321642,0.271529475,67.03073086,16909
Total,Rowdy Tellez,TOR,149,0.067114093,0.315436241,0.212765957,0.244444444,0.295302013,0.459259259,0.754561272,0.214814815,0.317647058,17.91238715,-0.639712818,0.312721327,94.1066681,15679
Total,Jesse Winker,CIN,147,0.1292517,0.163265306,0.791666666,0.176,0.294520547,0.248,0.542520547,0.072,0.202020202,9.922616642,-7.841683153,0.254804912,52.3939787,13590
Total,Cavan Biggio,TOR,145,0.158620689,0.28275862,0.560975609,0.237288135,0.368055555,0.372881355,0.74093691,0.13559322,0.333333333,19.30281495,1.047314902,0.328255781,104.3252067,19252
Total,Carlos Asuaje,SDP,142,0.084507042,0.183098591,0.461538461,0.1796875,0.25,0.21875,0.46875,0.0390625,0.217821782,5.129913123,-11.87988667,0.216443975,30.84056358,15197
Total,Steven Duggar,SFG,142,0.056338028,0.345070422,0.163265306,0.248062015,0.288732394,0.310077519,0.598809913,0.062015504,0.373493975,10.41553919,-7.048260703,0.261650363,62.81423704,17719
Total,Ryan Goins,3 Tms,135,0.066666666,0.259259259,0.257142857,0.280991735,0.333333333,0.388429752,0.721763085,0.107438017,0.376470588,15.93571037,-0.568789555,0.312602249,94.17255243,9807
Total,Dwight Smith Jr,2 Tms,134,0.082089552,0.276119402,0.297297297,0.201680672,0.283582089,0.336134453,0.619716542,0.134453781,0.2625,11.17863787,-5.525962118,0.27104621,64.23001847,13473
Total,Tony Kemp,2 Tms,133,0.075187969,0.157894736,0.476190476,0.254237288,0.318181818,0.364406779,0.682588597,0.110169491,0.295918367,13.78316814,-2.210531632,0.297001202,87.25665752,14894
Total,Alex Verdugo,LAD,133,0.037593984,0.142857142,0.263157894,0.306451612,0.333333333,0.451612903,0.784946236,0.145161291,0.342857142,17.78428375,1.230583775,0.329841761,106.0053947,17027
Total,Yordan Alvarez,HOU,131,0.106870229,0.229007633,0.466666666,0.307017543,0.389312977,0.649122807,1.038435784,0.342105264,0.342105263,28.09857993,11.60567989,0.422388884,170.980281,19556
Total,Matt Joyce,2 Tms,129,0.108527131,0.217054263,0.5,0.198198198,0.296875,0.306306306,0.603181306,0.108108108,0.243902439,10.5266905,-5.182409407,0.271557413,67.67924051,3353
Total,Tommy La Stella,2 Tms,127,0.070866141,0.11023622,0.642857142,0.254385964,0.314516129,0.377192982,0.691709111,0.122807018,0.260416666,13.5836327,-2.13766725,0.300078666,85.50585637,12371
Total,Jake Cave,MIN,122,0.049180327,0.401639344,0.122448979,0.230088495,0.272727272,0.433628318,0.70635559,0.203539823,0.33898305,12.8697618,-1.842038,0.297841384,83.84931225,14477
Total,Ji-Man Choi,3 Tms,121,0.107438016,0.256198347,0.419354838,0.19047619,0.289256198,0.304761904,0.594018102,0.114285714,0.236111111,9.566019887,-5.434880069,0.26583478,65.91448483,5452
Total,Bradley Zimmer,CLE,119,0.050420168,0.268907563,0.1875,0.227272727,0.285714285,0.345454545,0.63116883,0.118181818,0.293333333,10.18959796,-4.175501913,0.278094596,67.5181113,16221
Total,Jacoby Ellsbury,NYY,117,0.068376068,0.256410256,0.266666666,0.240384615,0.300884955,0.336538461,0.637423416,0.096153846,0.319444444,10.37411178,-3.888188181,0.281519675,72.13872562,4727
Total,Alex Avila,3 Tms,114,0.105263157,0.315789473,0.333333333,0.214285714,0.309734513,0.306122448,0.615856961,0.091836734,0.311475409,9.879453441,-3.991146454,0.277816273,68.11033108,7476
Total,Greg Garcia,2 Tms,113,0.115044247,0.28318584,0.40625,0.14893617,0.266055045,0.212765957,0.478821002,0.063829787,0.2,5.129886497,-8.687813427,0.229105656,38.65458918,10951
Total,Nicky Lopez,KCR,112,0.044642857,0.142857142,0.3125,0.266666666,0.306306306,0.342857142,0.649163448,0.076190476,0.306818181,10.45158284,-3.649217199,0.282207142,71.04683523,19339
