Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","David Peralta","ARI",1152,0.082465277,0.177951388,0.463414634,0.303724928,0.362847222,0.511938872,0.874786094,0.208213944,0.341220423,188.15476818848643,48.67696951050554,0.36918051700925203,126.96009754802054,2136
"Total","Carlos Santana","2 Tms",1380,0.157246376,0.161594202,0.97309417,0.246073298,0.366666666,0.454624781,0.821291447,0.208551483,0.260227272,204.2746380511179,36.71163954022074,0.3495564967087537,116.03172591510899,2396
"Total","Pedro Alvarez","BAL",149,0.114093959,0.288590604,0.395348837,0.196969696,0.288590604,0.378787878,0.667378482,0.181818182,0.231707317,14.799688158306463,-2.773411477234975,0.29344904502766245,80.83080512759759,2495
"Total","Lucas Duda","4 Tms",741,0.114709851,0.260458839,0.440414507,0.235658914,0.330634278,0.486821705,0.817455983,0.251162791,0.268115942,104.58117621833694,15.194277104681838,0.3433404076294821,115.11583775827299,2502
"Total","Lance Lynn","2 Tms",23,0,0.347826086,0,0.047619047,0.047619047,0.095238095,0.142857142,0.047619048,0.076923076,-2.27188554812184,-5.070585538036735,0.058674681754339306,-73.24315462321515,2520
"Total","Yonder Alonso","5 Tms",1140,0.120175438,0.209649122,0.573221757,0.250251256,0.340350877,0.439195979,0.779546856,0.188944723,0.281512605,152.09390445869383,14.25190582197126,0.3335794119180831,108.07399069129644,2530
"Total","Luis Avilan","2 Tms",3,0,0.666666666,0,0,0,0,0,0,0,-0.43763147327260604,-0.7983314696248018,0,-100,2882
"Total","Jeff Locke","MIA",8,0,0.875,0,0,0,0,0,0,0,-1.1912161785212123,-2.1664161759462917,0,-100,2929
"Total","Mitch Moreland","BOS",1120,0.104464285,0.204464285,0.51091703,0.25,0.329464285,0.478744939,0.808209224,0.228744939,0.271966527,155.5340750924779,19.676076222164742,0.33950615781459875,107.97876161223124,3086
"Total","Kenley Jansen","LAD",4,0,0,0,0.5,0.5,0.75,1.25,0.25,0.5,1.184003535440314,0.6964035367277743,0.5272092819213867,234.5289994235967,3096
"Total","Gregor Blanco","2 Tms",364,0.107142857,0.252747252,0.423913043,0.23765432,0.318681318,0.358024691,0.676706009,0.120370371,0.318777292,37.78087096764655,-5.735728456536817,0.29844304280621664,81.49965413041988,3123
"Total","Tony Watson","PIT",1,0,1,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,3132
"Total","Shin-Soo Choo","TEX",1416,0.134887005,0.227401129,0.593167701,0.2721202,0.37791932,0.475792988,0.853712308,0.203672788,0.324848484,228.0732514441234,55.85385281147779,0.3656136060998045,121.30477151823914,3174
"Total","David Price","BOS",3,0,0.333333333,0,0.666666666,0.666666666,0.666666666,1.333333332,0,1,1.0413551915923116,0.6676551912466047,0.5820929606755575,272.5139476466788,3184
"Total","Francisco Liriano","PIT",1,1,0,1,0,1,0,1,0,0,0.44607794593973465,0.32017794560594864,0.6902981996536255,339.54366746079546,3201
"Total","T.J. McFarland","ARI",14,0,0.714285714,0,0.076923076,0.076923076,0.076923076,0.153846152,0,0.333333333,-1.3063475360620451,-3.0039475207674933,0.06743606237264779,-66.28701349042564,3237
"Total","Robinson Cano","2 Tms",984,0.077235772,0.132113821,0.584615384,0.293659621,0.350609756,0.494994438,0.845604194,0.201334817,0.307482993,149.0074719363284,28.957872653884852,0.35418223812945965,125.72285543017783,3269
"Total","Matt Joyce","2 Tms",899,0.139043381,0.20355951,0.683060109,0.253594771,0.355951056,0.458823529,0.814774585,0.205228758,0.283905967,132.06391393778296,22.737814683592042,0.3487594693799481,119.8761494874172,3353
"Total","Miguel Montero","3 Tms",191,0.104712041,0.235602094,0.444444444,0.204819277,0.298429319,0.343373493,0.641802812,0.138554216,0.239316239,16.520522040018747,-6.717377874365144,0.2796046970382569,68.75950272423387,3364
"Total","Alejandro De Aza","WSN",55,0.054545454,0.29090909,0.1875,0.204081632,0.245283018,0.326530612,0.57181363,0.12244898,0.294117647,2.7127319415641784,-3.991768040733242,0.2348956442796267,36.37210093964215,3371
"Total","Cliff Pennington","2 Tms",183,0.103825136,0.295081967,0.351851851,0.232704402,0.313186813,0.320754716,0.633941529,0.088050314,0.323809523,16.50941918770186,-5.648280672930561,0.28246224090293215,74.73708127000452,3395
"Total","Anthony Rizzo","CHC",1474,0.128222523,0.121438263,1.055865921,0.292583537,0.402985074,0.519152404,0.922137478,0.226568867,0.296184738,264.65939255216625,85.63079406478909,0.3875011283525864,141.10918393918072,3473
"Total","Eric Hosmer","2 Tms",1397,0.09090909,0.218324982,0.416393442,0.30110935,0.365068002,0.482567353,0.847635355,0.181458003,0.359030837,216.77299478073087,46.6576960699674,0.35858805807558053,124.9332978293768,3516
"Total","Clay Buchholz","2 Tms",29,0.034482758,0.48275862,0.071428571,0.086956521,0.125,0.130434782,0.255434782,0.043478261,0.222222222,-1.2670855769726606,-4.662185492536721,0.11734730005264282,-35.41798097763489,3543
"Total","Clayton Richard","SDP",94,0.021276595,0.44680851,0.047619047,0.116883116,0.170731707,0.22077922,0.391510927,0.103896104,0.212121212,0.16674789951431113,-11.071851952213175,0.17594099626308535,4.140964875787232,3551
"Total","Eric Thames","MIL",1086,0.124309392,0.303867403,0.409090909,0.251068376,0.35359116,0.528846153,0.882437313,0.277777777,0.31617647,177.21018644230213,44.48378719942416,0.3674860256693681,126.06331199664318,3711
"Total","Josh Reddick","HOU",1214,0.085667215,0.1276771,0.670967741,0.273488372,0.331390507,0.418604651,0.749995158,0.145116279,0.288693743,148.75047168626463,0.7508727137652524,0.3194660368970405,102.26681889488665,3892
